title,author,titlerus,tag,wiki,img
Andersen's Fairy Tales,H. C. Andersen,Сказки Андерсена,fairy tale,"http://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%B5%D1%80%D1%81%D0%B5%D0%BD,_%D0%A5%D0%B0%D0%BD%D1%81_%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%B0%D0%BD",
Following the Equator: A Journey Around the World,Mark Twain,Вокруг света,geography,http://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%BA_%D0%A2%D0%B2%D0%B5%D0%BD,
A Tramp Abroad,Mark Twain,Вокруг света,geography,http://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%BA_%D0%A2%D0%B2%D0%B5%D0%BD,
Anna Karenina,graf Leo Tolstoy,Анна Каренина,novel,http://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%BD%D0%B0_%D0%9A%D0%B0%D1%80%D0%B5%D0%BD%D0%B8%D0%BD%D0%B0,
"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,"Уолден, или Жизнь в лесу",autobiography,"http://ru.wikipedia.org/wiki/%D0%A3%D0%BE%D0%BB%D0%B4%D0%B5%D0%BD,_%D0%B8%D0%BB%D0%B8_%D0%96%D0%B8%D0%B7%D0%BD%D1%8C_%D0%B2_%D0%BB%D0%B5%D1%81%D1%83",
Secret Service,Cyrus Townsend Brady,Секретная служба,detective,#,
The Legend of Sleepy Hollow,Washington Irving,Легенда о Сонной лощине,mysticism,http://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B3%D0%B5%D0%BD%D0%B4%D0%B0_%D0%BE_%D0%A1%D0%BE%D0%BD%D0%BD%D0%BE%D0%B9_%D0%BB%D0%BE%D1%89%D0%B8%D0%BD%D0%B5,
Anne of Green Gables,L. M. Montgomery,«Энн из Зелёных Мезонинов » ,novel,http://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%8F_%D0%B8%D0%B7_%D0%97%D0%B5%D0%BB%D1%91%D0%BD%D1%8B%D1%85_%D0%9C%D0%B5%D0%B7%D0%BE%D0%BD%D0%B8%D0%BD%D0%BE%D0%B2,
Persuasion,Jane Austen,Доводы рассудка,novel,http://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%B2%D0%BE%D0%B4%D1%8B_%D1%80%D0%B0%D1%81%D1%81%D1%83%D0%B4%D0%BA%D0%B0,
Oliver Twist,Charles Dickens,Оливер Твист,novel,http://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_%D0%9E%D0%BB%D0%B8%D0%B2%D0%B5%D1%80%D0%B0_%D0%A2%D0%B2%D0%B8%D1%81%D1%82%D0%B0,
The Call of the Wild,Jack London,Зов предков,adventure,http://ru.wikipedia.org/wiki/%D0%97%D0%BE%D0%B2_%D0%BF%D1%80%D0%B5%D0%B4%D0%BA%D0%BE%D0%B2,
The Time Machine,H. G. Wells,Машина Времени,fantasy,http://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD),
Essays of Michel de Montaigne — Complete,Michel de Montaigne,Эссе,philosophy,"http://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%8C,_%D0%9C%D0%B8%D1%88%D0%B5%D0%BB%D1%8C_%D0%B4%D0%B5",
Through the Looking-Glass,Lewis Carroll,Алиса в Зазеркалье,fantasy,http://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B8%D1%81%D0%B0_%D0%B2_%D0%97%D0%B0%D0%B7%D0%B5%D1%80%D0%BA%D0%B0%D0%BB%D1%8C%D0%B5,
"My Secret Life, Volumes I. to III",Anonymous,Моя секретная жизнь,erotic,#,
Complete Original Short Stories of Guy De Maupassant,Guy de Maupassant,Мопассан: сборник,novel,"http://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BF%D0%B0%D1%81%D1%81%D0%B0%D0%BD,_%D0%93%D0%B8_%D0%B4%D0%B5",
Aesop's Fables; a new translation,Aesop,Басни Эзопа,fairy tale,http://ru.wikipedia.org/wiki/%D0%AD%D0%B7%D0%BE%D0%BF,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
